Country,Year,Energy Consumption
Total Africa,2008,7.302680409786262
Australia,2008,1.5005844831466675
Bangladesh,2008,0.5895511507987976
Brunei,2008,0.4265998899936676
China,2008,2.9135398864746094
India,2008,1.0581070184707642
Indonesia,2008,2.693877935409546
Malaysia,2008,2.491382598876953
Myanmar,2008,0.4385879933834076
Pakistan,2008,1.245874047279358
Thailand,2008,1.0727258920669556
Vietnam,2008,0.2605152726173401
Other Asia Pacific,2008,0.6544630420394242
Total Asia Pacific,2008,15.34580921055749
Canada,2009,5.58182954788208
Mexico,2009,1.8929898738861084
US,2009,20.07297134399414
Total North America,2009,27.54779076576233
Argentina,2009,1.4508428573608398
Bolivia,2009,0.4277370274066925
Brazil,2009,0.44196993112564087
Colombia,2009,0.3640255033969879
Peru,2009,0.12908878922462463
Trinidad & Tobago,2009,1.3880956172943115
Venezuela,2009,1.1446541547775269
Other S. & Cent. America,2009,0.13682080800936092
Total S. & Cent. America,2009,5.483234688595985
Denmark,2009,0.31524306535720825
Germany,2009,0.4588620662689209
Italy,2009,0.274766206741333
Netherlands,2009,2.3580000400543213
Norway,2009,3.7247121334075928
Poland,2009,0.15407000482082367
Romania,2009,0.3742344081401825
Ukraine,2009,0.7321473360061646
United Kingdom,2009,2.203407049179077
Other Europe,2009,0.33304746299108956
Total Europe,2009,10.928489772966714
Azerbaijan,2009,0.5738081932067871
Kazakhstan,2009,0.9364935159683228
Russian Federation,2009,19.302831649780273
Turkmenistan,2009,1.1995830535888672
USSR,2009,0.0
Uzbekistan,2009,2.103255033493042
Other CIS,2009,0.011084158963058144
Total CIS,2009,24.12705560500035
Bahrain,2009,0.43680617213249207
Iran,2009,4.886481761932373
Iraq,2009,0.2466982752084732
Israel,2009,0.09122534096240997
Kuwait,2009,0.3929238021373749
Oman,2009,0.8609029054641724
Qatar,2009,3.327317953109741
Saudi Arabia,2009,2.682990074157715
Syria,2009,0.2208842933177948
United Arab Emirates,2009,1.7142839431762695
Other Middle East,2009,0.03437513392418623
Total Middle East,2009,14.894889655523002
Algeria,2009,2.7564074993133545
Egypt,2009,2.172208547592163
Libya,2009,0.5437800288200378
Nigeria,2009,0.8349097967147827
Other Africa,2009,0.5794057658604288
Total Africa,2009,6.886711638300767
Australia,2009,1.681113362312317
Bangladesh,2009,0.6748825907707214
Brunei,2009,0.4006299376487732
China,2009,3.0938310623168945
India,2009,1.3013978004455566
