Year,Cluster,Annual CO₂ emissions,Fossil Share Consumption,Non-CO₂ Share Consumption,Nuclear Share Consumption,Renewable Share Consumption,Fossil Electricity Share,Non-CO₂ Electricity Share,Nuclear Electricity Share,Renewable Electricity Share,Coal Production Share,Gas Production Share,Oil Production Share
1993,2,507371809.0,0.9849605364378686,0.014934505280685318,0.0,0.014934505280685318,0.0,0.05364821576941012,0.0,0.05364821576941012,0.0007384971364404091,0.24592356432820742,0.7533379385353522
1993,3,1228436326.0,0.7097422456101689,0.2787595785668106,0.007912212438357945,0.27084736612845267,0.022959658018841974,0.6188031666198617,0.016801490132659667,0.6020016764872019,0.19639144357203095,0.08853990374492055,0.7150686526830484
1994,0,8636647366.0,0.9318908158946411,0.06620826916434089,0.01116818276709537,0.05504008639724549,0.7972366003336254,0.1929191526988674,0.027715913476387598,0.16520323922247976,0.22906464676008215,0.07103361741836949,0.6999017358215484
1994,1,9928392160.0,0.8739558885612404,0.12440667417679657,0.09569582814968972,0.02871084602710683,0.405436220075724,0.34436805412265015,0.26421237742216486,0.08015567670048528,0.6126832631183091,0.052520338050431124,0.33479639883125967
1994,2,538292098.0,0.9857727896028101,0.014114021198825372,0.0,0.014114021198825372,0.0,0.053117089754543316,0.0,0.053117089754543316,0.0005789821247300454,0.2317199990409373,0.7677010188343325
1994,3,1257967080.0,0.7098147914881012,0.2791026480645936,0.008764953745945402,0.27033769431864824,0.02259327747954569,0.6325335077611179,0.01854384087978489,0.613989666881333,0.19594618435954,0.0892272627980537,0.7148265528424061
1995,0,9051106660.0,0.9310863046904514,0.06676383746030622,0.011891528686836544,0.05487230877346966,0.7977223046142877,0.19138568328065805,0.029351198789108184,0.16203448449154984,0.2296367064751877,0.07144644237857667,0.6989168511462356
1995,1,9967446280.0,0.8712722353425064,0.12691540352960012,0.09667714184360082,0.03023826168599926,0.4035641553273584,0.34941881880785003,0.2651089490723251,0.08430986973552493,0.6110256070471256,0.05419588581997064,0.33477850713290364
1995,2,542807523.0,0.9874982256717083,0.012394138030821655,0.0,0.012394138030821655,0.0,0.048711369081800744,0.0,0.048711369081800744,0.00035537630770755455,0.22738680749084939,0.772257816201443
1995,3,1291561770.0,0.7145242816040505,0.27444451369612605,0.008078536812501055,0.266365976883625,0.023690593719204935,0.6076749327019819,0.017408238887580283,0.5902666938144017,0.19585025757301341,0.0891614522232713,0.7149882902037151
1996,0,9380899660.0,0.9326368904579218,0.06513274590582488,0.011987412546780896,0.053145333359043964,0.8033511089488329,0.18527570339478494,0.029325674217017473,0.15595002917776743,0.2295988118999182,0.07200557258546872,0.6983956155146129
1996,1,10158090166.0,0.8646960488164394,0.13356112486199798,0.10046832828732405,0.033092796574673886,0.3922059482860968,0.36326687762536797,0.2745353985507421,0.08873147907462577,0.6042244850265716,0.061635952121279765,0.33413956285214863
1996,2,541890328.0,0.9866428301853407,0.01330822789913611,0.0,0.01330822789913611,0.0,0.05050619477349506,0.0,0.05050619477349506,0.00032778112691183637,0.22787095486222989,0.7718012640108582
1996,3,1353587700.0,0.7164125282376838,0.272606260015431,0.0073422663777644274,0.26526399363766656,0.02349164257172266,0.6156768122066208,0.015848429989189575,0.5998283822174312,0.19597024976999056,0.0893176221201012,0.7147121281099081
1997,0,9478404310.0,0.9350611263292576,0.06258645434176517,0.012692191629753014,0.04989426271201213,0.8156416725964293,0.17266893238586717,0.03024369253145729,0.14242523985440986,0.22925576547309245,0.07219385114738851,0.698550383379519
1997,1,10082334696.0,0.8605165922886585,0.13746806914956333,0.10345446263998075,0.034013606509582524,0.3964066940480151,0.36713386934194003,0.2766290982582987,0.09050477108364126,0.6037397204036906,0.06059294074256298,0.3356673388537463
1997,2,548387968.0,0.9873576041871214,0.012590561554007073,0.0,0.012590561554007073,0.0,0.04909510680289584,0.0,0.04909510680289584,0.00032934235148863637,0.21817880045363508,0.7814918571948762
1997,3,1396984242.0,0.7285594948619639,0.2604319389043179,0.0067099606335004275,0.2537219782708175,0.026378980775931874,0.5857323479493248,0.014608754027757053,0.5711235939215679,0.19529170753828018,0.09045680509121148,0.7142514873705083
