Year,Cluster,Annual CO₂ emissions,Exports of goods and services (% of GDP),Final consumption expenditure (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP per capita (current US$),Imports of goods and services (% of GDP),Population density (people per sq. km of land area),Urban population (% of total population),Adjusted savings: carbon dioxide damage (% of GDP),Adjusted savings: carbon dioxide damage (% of total population),Exports per capita (current US$),Imports per capita (current US$),"Foreign direct investment, net inflows per capita (BoP, current US$)"
1992,2,10638425173.0,39.945200401794,74.55015336913257,1.1265107899390145,23023.449387673787,38.67731539058753,369.8723365626592,80.28703846153847,0.7568653019655875,155.5881419202763,8961.785432978337,8416.064507075453,205.70050606291744
1992,3,2460701169.0,31.645585965791636,86.4764656478141,1.6545613239435928,1295.7045995504695,41.4506055766588,94.23041319797784,48.45377358490566,9.74829866140137,31.141521670472557,449.29049902734573,522.47378141261,21.92624634465284
1993,0,7343650503.0,36.61189573571917,77.74404503536154,1.8159618755947606,5270.688336000677,40.36782830087705,122.21771779414368,65.51934285714286,2.9166313403078976,92.10399046619511,2044.8360493473958,2212.228883836837,59.33655124858445
1993,1,952853177.97,17.46600660513885,89.03998731653756,1.0252182033194575,423.4739741423054,27.60879423932398,68.71353689088193,28.410476190476192,1.3091486793257585,6.051697615341995,84.40628714552258,116.52033764501115,5.647579217572063
1993,2,10733294021.0,40.5604360867186,74.25073168596846,1.5201455828277703,21867.087370617603,38.242101759321876,376.58790521144965,80.47023076923077,0.8615950418635586,166.7427753081523,8809.290538018986,8058.097833628202,287.27463060740786
1993,3,2443280814.0,32.46121068776111,85.38132238269661,1.7178960443462288,1335.6831705299433,42.616416435984455,95.5071923979984,48.88141509433962,5.83292195768038,30.626454210289175,455.8131405356147,548.9012699668314,11.745248927667362
1994,0,7277797740.0,37.62825660823662,76.94915117145457,2.038467639600413,5519.831496441166,39.96375551977616,123.89541962503458,65.77459999999999,2.77395397734588,94.78735151737682,2153.6851779741455,2257.352616122348,91.79564075209186
1994,1,997291655.06,20.919109493431566,87.6736207039293,0.7933832244861845,372.3187070983918,30.89728774379764,68.98443076578694,28.717238095238095,1.3140990050348986,5.674893622501317,85.18358909869502,115.30261005175736,2.9280119396578805
1994,2,10931638557.0,42.012441805165246,73.2164354377992,1.9293750497588036,23475.227996230493,39.00644942370914,384.6261440914641,80.66176923076924,0.8628909874208469,177.47960931120207,9815.120442173382,8868.559837520477,404.4979827471682
1994,3,2416677291.8,32.16290662554865,83.93613243815501,2.0090671423847053,1420.651659876918,42.86105964770929,96.82684312021165,49.31411320754717,4.053743887923381,29.25696405844467,488.31478043260984,585.0023212652754,19.493541968437782
1995,0,7535900967.059999,37.90200203168849,77.42452654538442,2.804056539949574,5920.388807574681,40.12839064595959,125.38989976383897,66.00545714285714,2.5007005530175257,99.19055018793888,2314.272618528983,2429.3754571289546,184.75768912149127
1995,1,1039735689.0,22.52292886892123,88.08926887139518,1.322868126508306,415.2292673765565,31.744620611524528,69.68110655588988,29.020880952380953,1.2322029253185638,5.680755175104556,100.10841557072102,133.1247902667745,5.578696018554021
1995,2,11053423945.0,45.811171764475105,72.464478620975,2.5807597654568557,26949.256769209853,42.921086310066464,392.5156755180489,80.83946153846153,0.7867510897320399,182.0331480344453,12034.044727168937,10945.283484149115,586.87788236295
1995,3,2480181576.1,31.33702109102028,83.38977795824411,3.837128669001674,1600.221010813662,41.664813741379156,98.12673618398112,49.72411320754717,2.9312068275116587,30.9816561393061,524.4473155795669,656.6638798967575,26.8984652338466
1996,0,7688944544.940001,39.63363976190907,77.26086199441744,3.512244625433021,6200.086874228312,42.68348103820799,126.88616034925126,66.22071428571428,2.529232169947309,104.43359517620561,2514.570633421433,2696.8131898253705,267.04924112286415
1996,1,1125283968.26,21.723187625909304,88.61065165393605,1.2074118859213274,428.9717202228699,30.892416070646473,72.03513899421937,29.328690476190477,1.2876211357825307,6.166244775123678,102.36841860644638,135.6622645575397,5.140270053045903
1996,2,11423479862.0,45.65324673737019,72.67744993172357,2.4162234959186595,27344.448847970103,42.83558998870441,402.9120659299836,80.99396153846153,0.8182175223920131,196.60164621942425,12314.29696850579,11201.643778576574,567.6651661620126
