Country,Year,Annual CO₂ emissions,Fossil Share Consumption,Non-CO₂ Share Consumption,Nuclear Share Consumption,Renewable Share Consumption,Fossil Electricity Share,Non-CO₂ Electricity Share,Nuclear Electricity Share,Renewable Electricity Share,Coal Production Share,Gas Production Share,Oil Production Share,Log Fossil,Log Non-CO₂,Log Nuclear,Log Renewable,Cluster
Greece,2020,55558176.0,0.8239845844509802,0.162160132987429,0.0,0.162160132987429,0.0,0.354403674683459,0.0,0.354403674683459,1.0,0.0,0.0,0.0,0.30336126497801263,0.0,0.30336126497801263,3
Hungary,2020,47107424.0,0.7801803249724454,0.1822994321168002,0.1496757224374108,0.0326237096793894,0.0,0.555768680217578,0.4596335528199256,0.0961351273976524,1.0,0.0,0.0,0.0,0.441969751605503,0.3781854129974484,0.09179047234727676,1
India,2020,2421552000.0,0.8898722384219275,0.0968678840945317,0.0127354115810033,0.0841324725135284,0.7718706257032241,0.2069776772971844,0.0282014081915245,0.1787762691056598,0.2590780954029413,0.0176028459023457,0.723319058694713,0.5720358391920114,0.1881194475758415,0.027811070207989456,0.16447684027874612,0
Indonesia,2020,608223200.0,0.8978218164125642,0.0303089066907312,0.0,0.0303089066907312,0.8186582070374746,0.0855668456533097,0.0,0.0855668456533097,0.2334860631265141,0.046174468947137,0.7203394679263487,0.5980989803065919,0.08210228895914741,0.0,0.08210228895914741,0
Iran,2020,756606400.0,0.9759564572899112,0.0240224916500961,0.0047088769813008,0.0193136146687952,0.9072783411315284,0.0926554051876294,0.018772059350058,0.0738833458375714,0.0,0.0543528306259736,0.9456471693740264,0.6456772735613884,0.08861088518274994,0.018598038688255193,0.07128137364889542,0
Iraq,2020,161115330.0,0.9791536139049964,0.0208463860950036,0.0,0.0208463860950036,0.0,0.0388650230015656,0.0,0.0388650230015656,0.0,0.0012466889028279,0.998753311097172,0.0,0.03812879318864215,0.0,0.03812879318864215,2
Israel,2020,59156320.0,0.9574857461074372,0.0391388760320037,0.0,0.0391388760320037,0.0,0.0584012710227967,0.0,0.0584012710227967,0.0,1.0,0.0,0.0,0.056759534708663316,0.0,0.056759534708663316,2
Italy,2020,302602430.0,0.7996526902971993,0.1452074196160142,0.0,0.1452074196160142,0.5710556052628764,0.3255858507813952,0.0,0.3255858507813952,0.0,0.0254462611076616,0.9745537388923384,0.45174775346752,0.2818545132511285,0.0,0.2818545132511285,0
Japan,2020,1040483400.0,0.8682564861823666,0.1109898298715117,0.0224581886729703,0.0885316411985414,0.7139141214173188,0.2034143741838114,0.0425304869708215,0.1608838872129898,1.0,0.0,0.0,0.5387797147297354,0.18516282837613104,0.04165091835993038,0.1491816867005296,0
Kazakhstan,2020,255486480.0,0.9574129593557066,0.042558730172733,0.0,0.042558730172733,0.8901548458592005,0.1097850704096075,0.0,0.1097850704096075,0.0209375354372471,0.012437207263017,0.9666252572997358,0.6366587547415836,0.10416636631386854,0.0,0.10416636631386854,0
