Country,Year,Electricity Generation Twh,Nuclear_TWh,Hydro_TWh,Solar_TWh,Wind_TWh,Oil_Production,Gas_Production,Coal_Production,Oil_Electricity,Gas_Electricity,Coal_Electricity
Total Asia Pacific,2013,9816.39605496054,344.09801705934353,1369.9811279241962,32.4508957535364,188.47280983818143,393.35429918034094,18.451308627147228,115.55148044606904,306.124435576628,1318.0098442669023,6088.478277986927
Total Asia Pacific,2014,10336.756298760562,371.3687621220346,1523.4286482128634,63.0332579878391,214.2734761330973,394.3752041685825,19.211732192430645,115.24781648122008,266.22082444848985,1367.8510114759497,6341.649962179801
Total Asia Pacific,2015,10445.392923390262,419.7487303943218,1565.7106204028837,95.68875493779468,243.00316166288133,399.3875281595817,20.168563267216086,114.274865810934,252.7767257977364,1379.866752593685,6276.952824615291
Total Asia Pacific,2016,10982.623193900778,467.7010520061857,1628.31824307156,141.70480505349113,311.227122919012,383.5267595971458,19.60386145627126,108.77764797443524,243.0379308303938,1444.8375810212897,6478.315024085565
Total Asia Pacific,2017,11611.911823233666,493.57710063256366,1671.8997368457815,219.68682378167816,387.5472516222964,368.5507665354869,21.81631056172773,110.91464154445566,194.9927744150614,1478.9150080260276,6868.208719034095
Total Asia Pacific,2018,12407.308810414002,553.588978012621,1725.720350972732,308.4446669603008,463.0172877979817,360.5614418970164,22.566589375026524,117.83117003341611,164.94661540695895,1513.0960369427517,7343.512335851583
Total Asia Pacific,2019,12811.599359750717,646.9147978582034,1790.9338700299536,389.7687653383472,512.3243811332941,361.4678466083963,23.706816911697388,122.3286974337243,127.68417509951068,1529.9140248400238,7459.092960394448
Total Asia Pacific,2020,12997.725022522409,654.9863681559301,1865.656026561592,468.0048881521619,574.9896900725034,353.09748946820497,23.62584780785255,120.55454653750348,104.42297197079006,1503.4284026658936,7436.542182558916
Total Asia Pacific,2021,14002.86020190446,714.1384145777511,1863.4478001379773,583.2158241914216,781.6083582748184,348.2282367253885,24.479675546986982,124.65829507452143,121.03527236781063,1530.6616216941388,7968.568885580417
Total Asia Pacific,2022,14543.384426677854,737.8076199576243,1907.0684323323137,734.5637589281104,901.4005409861044,344.4750389754101,24.760459820739925,135.25536020965956,143.76074190909063,1500.8681375231972,8129.560767163417
Total Asia Pacific,2023,15281.964773145355,781.0536933999797,1788.4082330004956,927.7469267607314,1045.1643662353,345.72437553157096,24.90620553586632,141.8807570210629,113.1563545395582,1501.805415789394,8612.440013558007
Total CIS,1990,1363.653,118.3250156,211.2386082,0.0,0.0,565.045,26.31425841874443,10.338294809684156,173.6877932983547,631.1134734006289,230.20174350101632
Total CIS,1991,1343.3253000000002,120.5229668,211.4583,0.0,0.0,510.7777,25.91384979337454,9.68350130179897,169.11061485187471,614.776489551698,227.39138179642725
Total CIS,1992,1265.6384,120.090037,216.0005,0.0,0.0,446.5067,25.02043422171846,9.283498761011288,137.85973146731632,568.4444820010518,221.36625915863743
Total CIS,1993,1195.7777999999998,119.6323594,222.579,0.0,0.0,398.6723,24.47903134184889,8.307020294480026,112.83857228779624,526.2347026650182,211.82935791671505
Total CIS,1994,1095.189,98.2000684,226.33,0.0,0.0,359.281,23.15974493324757,7.48323993885424,101.52079431295336,448.6292890985847,217.8432372291568
Total CIS,1995,1068.325,99.9155492,220.3152,0.0,0.0,354.2521999999999,22.49151731701568,6.801321043574717,97.72414083575032,435.2269859793333,212.54467609215573
Total CIS,1996,1046.585,111.438388,198.816,0.0,0.0,348.88340000000005,23.007165290415287,6.514310774800833,82.96179785618892,443.8107159040003,206.96580776258497
Total CIS,1997,1025.339,110.4055192,197.854,0.0,0.0,357.41979999999995,21.460611666669138,6.244563497981289,76.55708473034294,440.52118531566697,197.49643156726043
Total CIS,1998,1013.279,105.396388,198.338,0.0,0.0,358.20650000000006,22.10000548325479,5.888671374937985,77.6447765385481,427.2914322456064,202.09009569479213
Total CIS,1999,1034.143,123.952,203.164,0.0,0.0,365.8497,22.611668597732205,6.064989783830242,65.08242814463395,440.963938959071,197.99972666345843
Total CIS,2000,1071.6990914,132.72,208.4302046,0.0,0.0019,392.78912549208576,23.18998867936898,6.502349667687668,55.65894953198913,456.760831227324,214.23416944068688
Total CIS,2001,1089.0750027,138.922,217.3062926,0.0,0.0031,423.6506818436638,23.265025820350274,6.8712650286906864,44.96838385616333,472.4097803910312,210.5537682365844
Total CIS,2002,1093.2685501000003,143.911,207.3236969,0.0,0.0062,463.681671,23.891722542233765,6.527048381394707,42.27735474329106,481.6133708593261,213.20873528351
Total CIS,2003,1129.6972626,152.34,205.7135669532028,0.0,0.0086,510.325984,24.98276601161342,7.125803253613412,42.71221004272551,504.4429110248004,220.3836067460083
Total CIS,2004,1156.9509699,146.908,225.7875374162949,0.0,0.008010101010101,555.98142,25.5734061524272,7.370470584603026,36.533396708125935,529.2424223344611,214.2770560254397
Total CIS,2005,1180.5831296,152.162,223.5215278451417,0.0,0.0078,575.5826450000001,26.13304734247504,7.302996339160018,32.99802076428498,548.8537141490757,218.05919478311955
Total CIS,2006,1226.6374605000003,159.0763,222.01114622058464,0.0,0.0087999999999999,600.8381430000001,26.811300483183004,7.702769144671038,41.24705016256701,569.2703357283359,229.90585602654
Total CIS,2007,1257.0376469,162.61090000000004,227.4092604,0.0,0.0104999999999999,624.394457124185,27.198209624679293,7.849197760224342,30.741933579788206,602.1413451125767,229.6983298675162
Total CIS,2008,1281.9502922,165.5455,207.6668828,0.0,0.0081,626.8597141132288,27.91624869452789,8.322412669193,22.849423508447085,619.9736320449764,260.9132556426894
Total CIS,2009,1226.2356319000005,166.0762,218.31865850000003,7.375e-06,0.0112,645.4282227677965,24.12705560500035,7.831852852599695,24.11916923275973,587.2052820939192,225.363788593994
Total CIS,2010,1283.9826953000002,172.9047,216.83787700000005,0.000240125,0.009786,659.8759635443749,26.62254676909652,8.387687654001638,11.852532557342307,642.0941309665398,235.00698957042928
Total CIS,2011,1308.5070045000002,175.4893,212.74787670000003,0.00182275,0.012539,662.2575365157635,27.89186663343571,8.771303066518158,29.67625354465872,647.6962700360846,237.7032735495393
