Country,Year,Coal Consumption,Gas Consumption,Hydro Consumption,Nuclear Consumption,Oil Consumption,Primary Energy Consumption,Solar Consumption,Wind Consumption
Cyprus,2006,0.001263442332856357,0.0,0.0,0.0,0.12260383367538452,0.12388295762866619,1.0263944204780273e-05,3.6364272091304883e-06
Cyprus,2007,0.0011473873164504766,0.0,0.0,0.0,0.12473008781671524,0.12595176819741027,1.76409612322459e-05,3.6238791381038027e-06
Cyprus,2008,0.0009384883451275527,0.0,0.0,0.0,0.12737669050693512,0.12907904473831877,3.0348626751219854e-05,3.6013705084769754e-06
Cyprus,2009,0.000497479340992868,0.0,0.0,0.0,0.1245322898030281,0.1260128294234164,4.0215054468717426e-05,3.5791397294815397e-06
Cyprus,2010,0.0006135342991910875,0.0,0.0,0.0,0.12061427533626556,0.12260172661626711,6.994458817644045e-05,0.00030975459958426654
Cyprus,2011,0.00028858031146228313,0.0,0.0,0.0,0.11860702186822891,0.12141050858190283,0.00011917387746507302,0.001132151810452342
Cyprus,2012,1.0048320291389246e-05,0.0,0.0,0.0,0.11048394441604614,0.11377787973196973,0.0002171612868551165,0.0018261290388181806
Cyprus,2013,1.0048320291389246e-05,0.0,0.0,0.0,0.09787268191576004,0.10180243330705707,0.00046114070573821664,0.002266457537189126
Cyprus,2014,9.284399857278913e-05,0.0,0.0,0.0,0.09817077964544296,0.10185982768598478,0.00081533013144508,0.001793531235307455
Cyprus,2015,0.0001392660051351413,0.0,0.0,0.0,0.10055028647184372,0.10506411145615857,0.0012279211077839136,0.0021508370991796255
Cyprus,2016,1.8592010746942833e-05,0.0,0.0,0.0,0.1096753254532814,0.11425297659661737,0.0014064437709748745,0.002184793585911393
Cyprus,2017,0.00012488079664763063,0.0,0.0,0.0,0.11259209364652634,0.11734447225171607,0.0016480626072734594,0.002025827532634139
Cyprus,2018,0.0005698836175724864,0.0,0.0,0.0,0.11140082776546478,0.11686371057294309,0.001827107509598136,0.0021012260112911463
Cyprus,2019,0.0006996553274802864,0.0,0.0,0.0,0.11082660406827927,0.11697660366189666,0.002071244874969125,0.0022638626396656036
Cyprus,2020,0.0005836241180077195,0.0,0.0,0.0,0.09442771971225739,0.10181273892521858,0.0027948676142841578,0.0022729714401066303
Cyprus,2021,0.0017278498271480203,0.0,0.0,0.0,0.09738720953464508,0.10743114008801058,0.004411761183291674,0.0023218318819999695
Cyprus,2022,0.0012808677274733782,0.0,0.0,0.0,0.10346763581037521,0.11402793624438345,0.0056488593108952045,0.0021048900671303272
Cyprus,2023,0.0011660136515274644,0.0,0.0,0.0,0.10326145589351654,0.11554487538523972,0.007723460905253887,0.0019495893502607942
Czech Republic,1990,1.245400071144104,0.21971069276332855,0.012359032407402992,0.12855644524097443,0.3622523248195648,1.9682785663753748,0.0,0.0
Czech Republic,1991,1.1408888101577759,0.21200309693813324,0.011592580936849117,0.12392903119325638,0.30308717489242554,1.7915006941184402,0.0,0.0
Czech Republic,1992,1.0653212070465088,0.2428217977285385,0.014924515970051289,0.1251344084739685,0.29045239090919495,1.7387258983872016,0.0,0.0
Czech Republic,1993,1.0363675355911255,0.24815429747104645,0.014573225751519203,0.1289854794740677,0.2940610945224762,1.7241453451133566,0.0,0.0
Czech Republic,1994,0.980880081653595,0.2423871010541916,0.015541935339570045,0.13256075978279114,0.3041023313999176,1.6794541427807417,0.0,0.0
Czech Republic,1995,0.9818057417869568,0.2743028998374939,0.02131161279976368,0.12493010610342026,0.3427026569843292,1.7503702446701936,0.0,0.0
Czech Republic,1996,0.9796271920204163,0.31567320227622986,0.02096032164990902,0.13126343488693237,0.35872089862823486,1.8105189969064668,0.0,0.0
Czech Republic,1997,0.9204496741294861,0.3210794925689697,0.018086129799485207,0.12762688100337982,0.3420839011669159,1.7363516730256379,0.0,0.0
Czech Republic,1998,0.853208065032959,0.3217689096927643,0.014860644936561584,0.1346139758825302,0.35310763120651245,1.685775559861213,0.0,0.0
Czech Republic,1999,0.7773991227149963,0.32349780201911926,0.01789451576769352,0.13644246757030487,0.35150283575057983,1.6163531093625352,0.0,0.0
Czech Republic,2000,0.8881810307502747,0.31401631236076355,0.018714193254709244,0.13882258534431458,0.3399447202682495,1.7082135111559182,0.0,0.0
Czech Republic,2001,0.8716694116592407,0.3362903892993927,0.021723179146647453,0.1496865451335907,0.3597113788127899,1.746979097602889,0.0,2.1152072804397903e-06
Czech Republic,2002,0.8554704785346985,0.3249810039997101,0.026185449212789536,0.18894189596176147,0.3483026325702667,1.7523235811386257,0.0,1.6812486137496307e-05
Czech Republic,2003,0.8694785237312317,0.3283371031284332,0.014439137652516365,0.25920048356056213,0.37271273136138916,1.8523805546574295,0.0,4.0717743104323745e-05
Czech Republic,2004,0.8707979917526245,0.32606369256973267,0.02094707451760769,0.2620570659637451,0.4107060432434082,1.9001682944362983,1.0373946679465007e-06,0.00010270207712892443
Czech Republic,2005,0.8413088917732239,0.32252758741378784,0.024532800540328026,0.2446002960205078,0.42896559834480286,1.8706751184727182,7.009636533439334e-07,0.00021936038683634251
Czech Republic,2006,0.8711109757423401,0.31792590022087097,0.026123888790607452,0.25602614879608154,0.42303749918937683,1.9060393491963623,1.7413876776117831e-06,0.0005057706730440259
Czech Republic,2007,0.8694530725479126,0.30306780338287354,0.02126900479197502,0.25565287470817566,0.4200921356678009,1.885339011787437,1.7854730685940012e-05,0.0012734270421788096
Czech Republic,2008,0.824578583240509,0.3003416955471039,0.020478596910834312,0.25774312019348145,0.42203471064567566,1.8490275546209887,0.00013087339175399393,0.0024750418961048126
Czech Republic,2009,0.7616740465164185,0.2848806083202362,0.024426694959402084,0.26248863339424133,0.4074443280696869,1.774119523819536,0.0008928445749916136,0.0028961575590074062
Czech Republic,2010,0.7861722111701965,0.3378554880619049,0.027872657403349876,0.26836103200912476,0.3847443461418152,1.8491363341454417,0.006152146030217409,0.0033522741869091988
Czech Republic,2011,0.773959219455719,0.2850857973098755,0.01949501968920231,0.2695302963256836,0.3898153603076935,1.807112719397992,0.021669961512088776,0.003942699171602726
Czech Republic,2012,0.7421370148658752,0.28705140948295593,0.02101670205593109,0.2872350811958313,0.38496920466423035,1.7979779576417059,0.021208997815847397,0.004104516003280878
Czech Republic,2013,0.7074162364006042,0.2908323109149933,0.02682962641119957,0.289469450712204,0.3673394024372101,1.7647958062589169,0.019943393766880035,0.004714614246040583
Czech Republic,2014,0.6855689883232117,0.25883281230926514,0.018625440075993538,0.28380146622657776,0.3887156546115875,1.727772826794535,0.020747395232319832,0.00464762095361948
Czech Republic,2015,0.6835001707077026,0.2714202105998993,0.017405739054083824,0.24970027804374695,0.3775555193424225,1.6945781104732305,0.021980637684464455,0.0055512976832687855
Czech Republic,2016,0.6885569095611572,0.2937591075897217,0.01928902044892311,0.22291459143161774,0.3545011579990387,1.6717473873868585,0.02056816592812538,0.004789373371750116
Czech Republic,2017,0.6742004752159119,0.3014918863773346,0.017911342903971672,0.26054126024246216,0.4150654971599579,1.7660949758719653,0.021047797054052353,0.005662528797984123
Czech Republic,2018,0.6696454286575317,0.28738170862197876,0.015501490794122219,0.2734743356704712,0.41800984740257263,1.7604873690288514,0.02230278216302395,0.00580363254994154
Czech Republic,2019,0.6025072336196899,0.29969820380210876,0.019061317667365074,0.275424599647522,0.42337268590927124,1.7204578118398786,0.021709635853767395,0.006642972584813833
Czech Republic,2020,0.5235670208930969,0.30464550852775574,0.02027316391468048,0.27257171273231506,0.3689439594745636,1.5932434198912233,0.021152572706341743,0.006609583739191294
Czech Republic,2021,0.5424760580062866,0.3264993131160736,0.02270449884235859,0.2777923345565796,0.4066697359085083,1.6790615592617542,0.020273976027965546,0.005666662007570267
Czech Republic,2022,0.5560535788536072,0.26555219292640686,0.019648607820272446,0.2793968617916107,0.41600334644317627,1.6406321045942605,0.0215715691447258,0.00601932592689991
Czech Republic,2023,0.47081616520881653,0.24110999703407288,0.021910730749368668,0.2728956341743469,0.4176247715950012,1.524141708156094,0.02049929089844227,0.006559301633387804
Denmark,1990,0.2550012469291687,0.07577306777238846,0.00029806452221237123,0.0,0.3870772123336792,0.7270596403104719,0.0,0.0064967419020831585
Denmark,1991,0.3458673655986786,0.08746492862701416,0.0002703870995901525,0.0,0.3927125632762909,0.8382733659236692,0.0,0.007878484204411507
Denmark,1992,0.2880895137786865,0.09196636080741882,0.00029487095889635384,0.0,0.3892098367214203,0.7852924608450849,0.0,0.009744580835103989
Denmark,1993,0.30219903588294983,0.10334634780883789,0.0002927419263869524,0.0,0.4074799716472626,0.8326934513170272,0.0,0.011009225621819496
Denmark,1994,0.32497522234916687,0.11548095941543579,0.00034703226992860436,0.0,0.433505117893219,0.8930013524950482,0.0,0.012103548273444176
Denmark,1995,0.271656334400177,0.13371913135051727,0.00032254838151857257,0.0,0.4513668119907379,0.8770308230887167,0.0,0.012532548047602177
Denmark,1996,0.373403936624527,0.15751780569553375,0.00020545160805340856,0.0,0.48984721302986145,1.0436000656191027,1.715053713269299e-06,0.013060548342764378
Denmark,1997,0.27758902311325073,0.1645880788564682,0.00020438709179870784,0.0,0.4726056158542633,0.9467926835350227,3.400537707420881e-06,0.02058987133204937
Denmark,1998,0.23591361939907074,0.17747274041175842,0.00029061289387755096,0.0,0.4571991562843323,0.9132887862797361,4.25806456405553e-06,0.030018290504813194
Denmark,1999,0.19819055497646332,0.18609723448753357,0.000324677414027974,0.0,0.45375314354896545,0.8857759942475241,9.373656212119386e-06,0.03224419429898262
Denmark,2000,0.1662578284740448,0.18366965651512146,0.0003214838798157871,0.0,0.4411248564720154,0.8514698396320455,1.277419323741924e-05,0.04514825716614723
