Country,Year,Electricity Generation Twh
Denmark,1993,33.96900277777778
Estonia,1993,9.118
Finland,1993,61.078672
France,1993,472.707
Germany,1993,527.118
Greece,1993,38.396
Hungary,1993,32.915
Iceland,1993,4.721272
Ireland,1993,16.38194822
Italy,1993,222.802
Latvia,1993,3.924
Lithuania,1993,14.105
Luxembourg,1993,1.067
Netherlands,1993,76.992
North Macedonia,1993,5.18
Norway,1993,120.095
Poland,1993,133.867
Portugal,1993,31.205000000000002
Romania,1993,55.476
Slovakia,1993,24.442
Slovenia,1993,11.946
Spain,1993,156.798
Sweden,1993,145.812
Switzerland,1993,61.55561297182351
Turkey,1993,73.8075
Ukraine,1993,229.906
United Kingdom,1993,323.10200000000003
Other Europe,1993,53.8096102631579
Total Europe,1993,3174.603668860602
Azerbaijan,1993,19.051000000000002
Belarus,1993,33.369
Kazakhstan,1993,77.889
Russian Federation,1993,956.587
Turkmenistan,1993,12.6368
Uzbekistan,1993,49.149
Other CIS,1993,47.096000000000004
Total CIS,1993,1195.7777999999998
Iran,1993,74.686
Iraq,1993,27.089582
Israel,1993,25.9997
Kuwait,1993,20.178
Oman,1993,5.833
Qatar,1993,5.5600000000000005
Saudi Arabia,1993,102.66853564598502
United Arab Emirates,1993,21.73
Other Middle East,1993,36.1
Total Middle East,1993,319.8448176459851
Algeria,1993,19.414
Egypt,1993,46.737
Morocco,1993,9.91
South Africa,1993,174.70600000000002
Eastern Africa,1993,30.262956102485777
Middle Africa,1993,10.753
Western Africa,1993,26.530572371170642
Other Northern Africa,1993,18.05021052631579
Other Southern Africa,1993,2.71
Total Africa,1993,339.07373899997225
Australia,1993,165.3825
Bangladesh,1993,9.206
China,1993,811.59
China Hong Kong SAR,1993,35.9475
India,1993,362.1762511495495
Indonesia,1993,39.70743
Japan,1993,926.1030000000001
Malaysia,1993,34.87734916912133
New Zealand,1993,34.61563138758013
Pakistan,1993,57.012
Philippines,1993,26.579
Singapore,1993,18.962400000000002
South Korea,1993,161.900951
Sri Lanka,1993,3.9787
Taiwan,1993,115.206014617
Thailand,1993,63.33733
Vietnam,1993,10.662
Other Asia Pacific,1993,41.75494562474747
Total Asia Pacific,1993,2918.9990029479986
Canada,1994,553.0548439663934
Mexico,1994,146.1275620273452
US,1994,3458.526080733886
Total North America,1994,4157.708486727624
Argentina,1994,65.622035
Brazil,1994,260.0406103672302
Chile,1994,25.276
Colombia,1994,45.024283810342446
Ecuador,1994,8.1439969
Peru,1994,15.866
Trinidad & Tobago,1994,4.069
Venezuela,1994,71.221
Central America,1994,18.77190615789474
Other Caribbean,1994,48.61119420752305
Other South America,1994,48.54755816440001
Total S. & Cent. America,1994,611.1935846073907
Austria,1994,53.27408208799931
Belgium,1994,72.179
Bulgaria,1994,38.133
Croatia,1994,8.7729
Cyprus,1994,2.685
Czech Republic,1994,58.705
Denmark,1994,40.19660555555556
Estonia,1994,9.152000000000001
Finland,1994,65.630751
France,1994,476.868
Germany,1994,528.4692
Greece,1994,40.624
Hungary,1994,33.515
Iceland,1994,4.772761000000001
Ireland,1994,17.088075299999996
Italy,1994,231.81300000000002
Latvia,1994,4.44
Lithuania,1994,9.998
Luxembourg,1994,1.147
Netherlands,1994,79.677
North Macedonia,1994,5.939
Norway,1994,113.21300000000001
Poland,1994,135.347
Portugal,1994,31.381
Romania,1994,55.136
Slovakia,1994,25.712
Slovenia,1994,12.895
Spain,1994,161.848
Sweden,1994,143.038
Switzerland,1994,66.13423976608188
Turkey,1994,78.32169999999999
Ukraine,1994,202.922
United Kingdom,1994,326.558
Other Europe,1994,56.829166894736844
Total Europe,1994,3192.4144816043736
Azerbaijan,1994,17.571
Belarus,1994,31.397000000000002
Kazakhstan,1994,66.777
Russian Federation,1994,875.914
Turkmenistan,1994,10.52
Uzbekistan,1994,47.800000000000004
Other CIS,1994,45.21000000000001
Total CIS,1994,1095.189
Iran,1994,81.004
Iraq,1994,26.663286
Israel,1994,28.3157
Kuwait,1994,22.802
Oman,1994,6.198
Qatar,1994,5.8500000000000005
Saudi Arabia,1994,106.04595385502262
United Arab Emirates,1994,23.736
Other Middle East,1994,39.084
Total Middle East,1994,339.6989398550226
Algeria,1994,19.883
Egypt,1994,48.550000000000004
Morocco,1994,11.47
South Africa,1994,181.69
Eastern Africa,1994,30.69492462019389
Middle Africa,1994,10.308000000000002
Western Africa,1994,27.53577491788634
Other Northern Africa,1994,18.821210526315788
Other Southern Africa,1994,2.3810000000000002
Total Africa,1994,351.333910064396
Australia,1994,170.1425
Bangladesh,1994,9.784
China,1994,927.8000000000001
China Hong Kong SAR,1994,26.74083333333333
India,1994,387.9669838852853
Indonesia,1994,45.92842
Japan,1994,984.493
Malaysia,1994,39.75420469738232
New Zealand,1994,35.19550839067087
Pakistan,1994,57.923
Philippines,1994,30.459
Singapore,1994,20.675400000000003
South Korea,1994,183.365532
Sri Lanka,1994,4.38672
Taiwan,1994,124.63486282500001
Thailand,1994,71.10243
Vietnam,1994,12.288
Other Asia Pacific,1994,43.32737126671717
Total Asia Pacific,1994,3175.9677663983894
Canada,1995,557.8686930865186
Mexico,1995,150.35629869436306
