Country,Year,Oil_Production,Gas_Production,Coal_Production
Australia,2008,24.566362465935057,1.5005844831466677,9.79423713684082
Australia,2009,24.11255239341148,1.681113362312317,10.162201881408691
Australia,2010,24.63741810083801,1.8945183753967283,10.493242263793944
Australia,2011,21.41118722614815,1.960254430770874,10.262928009033203
Australia,2012,21.184009592158272,2.0982890129089355,11.13087272644043
Australia,2013,17.610374950003585,2.1807570457458496,11.965476036071776
Australia,2014,18.60463587056147,2.349879264831543,12.81401824951172
Australia,2015,16.803169660200037,2.6747164726257324,12.800529479980469
Australia,2016,15.352201024641875,3.386869192123413,12.827000617980955
Australia,2017,13.90081155872462,3.970607280731201,12.503928184509276
Australia,2018,14.622081613378567,4.5864667892456055,13.096935272216797
Australia,2019,19.25480092598573,5.25968599319458,13.183566093444824
Australia,2020,19.111839464263333,5.245789527893066,12.087618827819824
