Country,Year,Oil_Electricity,Gas_Electricity,Coal_Electricity
Other Middle East,1993,51.33745300000001,43.919,15.989
Total Middle East,1993,129.90562040298502,153.806368243,16.085
Egypt,1993,10.472,26.1725,0.0
South Africa,1993,0.0,0.0,165.95999990918682
Other Africa,1993,31.28497286596621,28.96100000000001,9.996848377700031
Total Africa,1993,41.75697286596621,55.1335,175.95684828688684
Australia,1993,2.3705,12.247,133.2774
China,1993,65.45400000000001,3.124,589.2284719878788
India,1993,14.208,17.878,252.784
Indonesia,1993,14.72373,4.317289999999999,10.681360000000002
Japan,1993,238.79598883797644,182.3239576776655,140.23030688839842
Malaysia,1993,10.685,15.459349169121326,3.88
South Korea,1993,25.328151,18.922913000000005,53.502605
Taiwan,1993,26.456750566,2.607891722,44.820040423
Thailand,1993,18.238485,27.953160000000004,13.503754
Vietnam,1993,2.0460000000000003,0.014,0.637
Other Asia Pacific,1993,52.73229995189188,42.14147972201522,48.22098507004428
Total Asia Pacific,1993,471.0389053558683,326.9890412908021,1290.7659233693216
Canada,1994,10.068,15.437,86.651
Mexico,1994,79.72029009468886,21.3801850260356,14.284618062169889
US,1994,113.8720247311828,494.8587978494624,1832.2719516129032
Total North America,1994,203.66031482587164,531.675982875498,1933.207569675073
Argentina,1994,4.557,22.719353996006127,2.348
Brazil,1994,6.44245004874996,0.4791674319220369,4.970669237780714
Other S. & Cent. America,1994,62.07808260127786,31.90189776089233,8.386659477940045
Total S. & Cent. America,1994,73.07753265002785,55.10041918882049,15.705328715720755
France,1994,5.617,3.625,24.143
Germany,1994,10.1,36.1,290.7
Italy,1994,116.312,40.404,22.883
Netherlands,1994,3.331,43.541,27.007
Poland,1994,1.686,0.147,129.371
Spain,1994,10.509,3.229,62.613
Turkey,1994,5.5488,13.8223,28.2347
Ukraine,1994,10.399,34.26,77.08800000000001
United Kingdom,1994,14.837,53.258,161.341
Other Europe,1994,55.4402552455048,65.10549268337223,267.24755011567726
Total Europe,1994,233.7800552455048,293.49179268337224,1090.6282501156777
Kazakhstan,1994,4.76835475426614,5.35039805690517,47.10350438882869
Russian Federation,1994,73.27043955868723,363.7423140416796,162.4847328403281
Other CIS,1994,23.482,79.53657700000001,8.255
Total CIS,1994,101.52079431295336,448.6292890985847,217.8432372291568
Iran,1994,26.76460502476001,47.24839497524,0.095
Saudi Arabia,1994,55.56793529710757,50.47801855791504,0.0
United Arab Emirates,1994,0.001971757925072,23.734028242074928,0.0
Other Middle East,1994,56.4859668,45.809,16.964
Total Middle East,1994,138.82047887979266,167.26944177522995,17.058999999999997
Egypt,1994,8.5305,29.2915,0.0
South Africa,1994,0.0,0.0,169.40200023604234
Other Africa,1994,31.25357507952084,32.81,10.39167580176722
Total Africa,1994,39.78407507952084,62.1015,179.79367603780958
Australia,1994,2.529,13.556,136.8941
China,1994,48.199,3.154,693.4083966161616
India,1994,15.747,21.882,264.609
Indonesia,1994,11.20074,12.3335,12.80518
Japan,1994,281.11687388874896,199.1195028290056,156.84714368628588
Malaysia,1994,9.744,19.44620469738232,4.081
South Korea,1994,37.60050700000001,17.912262999999992,65.100592
Taiwan,1994,26.919745836,5.382906161999999,48.27158504599999
Thailand,1994,21.032357,31.484798,14.130907999999998
Vietnam,1994,1.97,0.004,1.071
Other Asia Pacific,1994,57.01204729881665,41.18868440741168,40.25964982219704
Total Asia Pacific,1994,513.0712710235657,365.4638590957996,1437.4785551706443
Canada,1995,6.303440860215054,19.975483870967743,91.60397849462365
Mexico,1995,70.00650791825345,22.39776710409266,15.48144012468612
US,1995,80.16566129032259,533.3956397849462,1853.0069021505376
Total North America,1995,156.4756100687911,575.7688907600066,1960.0923207698472
Argentina,1995,4.585,26.500556270948653,1.908
Brazil,1995,7.581481502024661,0.5596937043269541,5.442427
Other S. & Cent. America,1995,67.37900614271146,36.58796962127845,10.865215677657098
Total S. & Cent. America,1995,79.54548764473611,63.64821959655407,18.215642677657097
France,1995,7.749,3.84,26.556
Germany,1995,9.1,41.1,289.7
Italy,1995,120.8,46.442,27.565
Netherlands,1995,2.814,42.011,30.022
Poland,1995,1.523,0.258,133.009
Spain,1995,14.623,3.75,67.07900000000001
Turkey,1995,5.772,16.5793,28.0469
Ukraine,1995,10.391,32.726,70.228
United Kingdom,1995,17.297,63.739,155.20600000000002
Other Europe,1995,59.79946410527597,67.19862851750203,266.358126295447
Total Europe,1995,249.868464105276,317.643928517502,1093.770026295447
Kazakhstan,1995,4.860275052837306,5.454308670406309,48.01871747675639
Russian Federation,1995,67.79186578291304,353.5442161089271,160.29595861539937
Other CIS,1995,25.072,76.22846120000001,4.23
Total CIS,1995,97.72414083575032,435.2269859793333,212.54467609215575
Iran,1995,29.339361164514603,46.5996388354854,0.091
Saudi Arabia,1995,60.11966246286025,49.80836290231063,0.0
United Arab Emirates,1995,0.0017387319884726,24.980261268011528,0.0
Other Middle East,1995,58.430124,47.64,18.71
Total Middle East,1995,147.89088635936332,169.02826300580756,18.801
Egypt,1995,9.01,30.45,0.0
South Africa,1995,0.0,0.0,173.55100060987476
Other Africa,1995,27.12777627589129,35.864000000000004,13.3348443320902
Total Africa,1995,36.1377762758913,66.314,186.88584494196496
Australia,1995,2.7715,13.679,141.93535
China,1995,55.094,2.999,741.8859007838385
India,1995,16.826,29.434,296.29200000000003
Indonesia,1995,8.579210000000002,20.66654,14.36661
Japan,1995,248.67469943559016,201.16463298105012,168.60079598740006
Malaysia,1995,10.936,25.446500092258105,3.974
South Korea,1995,29.563983,29.21781900000001,72.00609699999998
Taiwan,1995,32.240942199,5.844308743,50.332971304
Thailand,1995,23.97307,33.86326225,15.16511264
Vietnam,1995,1.295,0.748,2.023
Other Asia Pacific,1995,64.13309565310463,44.1795588893897,41.82839006372966
Total Asia Pacific,1995,494.08750028769487,407.2426219556979,1548.410227778968
Canada,1996,7.422365591397849,18.62150537634409,89.62107526881721
Mexico,1996,71.47585419180815,21.16826488051564,18.53418910728201
US,1996,87.53895161290322,489.30707096774194,1945.7542
Total North America,1996,166.43717139610922,529.0968412246017,2053.909464376099
Argentina,1996,4.624,32.545495397110024,1.917
Brazil,1996,9.328144558238638,0.9741468373161114,6.02573889
Other S. & Cent. America,1996,69.17885462627125,37.29306631207082,11.65295462135922
Total S. & Cent. America,1996,83.1309991845099,70.81270854649696,19.595693511359222
France,1996,7.79,4.122,30.966
Germany,1996,8.162,45.56,296.975
Italy,1996,117.088,49.725,25.323
Netherlands,1996,2.824,47.075,28.453
Poland,1996,1.772,0.323,136.764
Spain,1996,13.92,6.767,54.67
Turkey,1996,6.539599999999999,17.174200000000003,30.4136
Ukraine,1996,4.947,33.275,56.354
United Kingdom,1996,17.185,84.086,147.269
Other Europe,1996,60.03643156814688,76.53985231347991,286.498839091123
Total Europe,1996,240.2640315681469,364.6470523134799,1093.6864390911228
Kazakhstan,1996,4.245919170781519,4.764125812621116,42.321201816597366
Russian Federation,1996,56.507878685407405,364.1110814913792,160.6306059459876
Other CIS,1996,22.208,74.9355086,4.014
