Country,Year,Annual CO₂ emissions,Fossil Share Consumption,Non-CO₂ Share Consumption,Nuclear Share Consumption,Renewable Share Consumption,Fossil Electricity Share,Non-CO₂ Electricity Share,Nuclear Electricity Share,Renewable Electricity Share,Coal Production Share,Gas Production Share,Oil Production Share,Cluster
Netherlands,1994,171730580.0,0.9837177088091044,0.0130826203608099,0.0120157090506712,0.0010669113101386,0.9272311959536628,0.0540307742510385,0.0497885211541599,0.0042422530968786,0.0,1.0,0.0,0
Netherlands,1995,173260980.0,0.9837448567432858,0.0129252983557749,0.0116939295401585,0.0012313688156163,0.9233189001147256,0.0545748368552854,0.0495663866375535,0.0050084502177318,0.0,1.0,0.0,0
Netherlands,1996,182322610.0,0.9827553859126992,0.0131143446463279,0.0116054848771562,0.0015088597691717,0.9192575732688832,0.0548959335476453,0.0488068141821338,0.0060891193655114,0.0,1.0,0.0,0
Netherlands,1997,175247140.0,0.9867993687894766,0.0085250621159715,0.006840599029573,0.0016844630863984,0.932920989164426,0.0343530389226739,0.027787073471884,0.0065659654507898,0.0,1.0,0.0,0
Netherlands,1998,176178670.0,0.9819872574398228,0.0129662274747968,0.0107445071899345,0.0022217202848623,0.9207538055584537,0.0496151061352088,0.0414003401702838,0.008214765964925,0.0,1.0,0.0,0
Netherlands,1999,170835470.0,0.981121458024356,0.0131340530453244,0.0109306341114019,0.0022034189339225,0.917975243794308,0.0521441746255967,0.0436924308924182,0.0084517437331785,0.0,1.0,0.0,0
Netherlands,2000,171936060.0,0.979695927502619,0.0139210739164131,0.0110454869236943,0.0028755869927187,0.9120334637025,0.0543166961550933,0.0434595578158698,0.0108571383392235,0.0,1.0,0.0,0
Netherlands,2001,177246850.0,0.9794051686758164,0.0133954871957125,0.0107110662848484,0.002684420910864,0.9096722136197488,0.0523846913440927,0.0422288567321523,0.0101558346119403,0.0,1.0,0.0,0
Netherlands,2002,176525380.0,0.977657757105368,0.0134718754169672,0.0104787770377421,0.0029930983792251,0.9095558957125536,0.0524407271920168,0.0411592445042584,0.0112814826877583,0.0,1.0,0.0,0
Netherlands,2003,179964300.0,0.9777466346414796,0.0145309910645112,0.0106182742245212,0.00391271683999,0.900832629366701,0.0554181281584564,0.0409412728032585,0.0144768553551978,0.0,1.0,0.0,0
Netherlands,2004,181892290.0,0.9752614867239376,0.0149898696253333,0.0097072623671384,0.0052826072581948,0.8915187731831434,0.0569572813683571,0.0374176470543316,0.0195396343140254,0.0,1.0,0.0,0
Netherlands,2005,177931340.0,0.9693440479163096,0.0155114379880768,0.0098754500924203,0.0056359878956565,0.8673107455677462,0.0613946035431038,0.0396696156971742,0.0217249878459295,0.0,1.0,0.0,0
Netherlands,2006,173085150.0,0.9681548677224594,0.0162007867535662,0.0086942931050797,0.0075064936484865,0.866885238523857,0.0641866274774302,0.035103478567495,0.0290831489099351,0.0,1.0,0.0,0
Netherlands,2007,172833020.0,0.9655352165910994,0.0194299054904064,0.0102905384453577,0.0091393670450486,0.8707631585631156,0.0739798133320343,0.0399405363962348,0.0340392769357994,0.0,1.0,0.0,0
Netherlands,2008,175705260.0,0.9605959013236496,0.0215626692508716,0.0102719381807901,0.0112907310700814,0.8635838444000025,0.0791672003097739,0.0385284839914184,0.0406387163183555,0.0,1.0,0.0,0
