Country,Year,Annual CO₂ emissions,Exports of goods and services (% of GDP),Final consumption expenditure (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP per capita (current US$),Imports of goods and services (% of GDP),Population density (people per sq. km of land area),Urban population (% of total population),Adjusted savings: carbon dioxide damage (% of GDP),Adjusted savings: carbon dioxide damage (% of total population),Exports per capita (current US$),Imports per capita (current US$),"Foreign direct investment, net inflows per capita (BoP, current US$)",Log GDP,Cluster
Czech Republic,2020,91673770.0,69.9487715380852,67.0972517533754,3.46193600434273,22992.8793833348,63.1995482324718,138.575928842168,74.061,1.5030499840459828,345.5944699029254,16083.236669876344,14531.395895904769,795.9987698067632,10.042939854948859,1
Democratic Republic of the Congo,2020,4301513.0,28.6049515263296,76.679573323215,3.07507847506139,524.666686211495,29.8868058018726,40.9577045058556,45.638,0.2667809440052519,1.3997107383560994,150.08065126559825,156.80611361515048,16.133912333507556,6.262763177561134,0
Denmark,2020,28294042.0,55.1198016695417,71.01144825189,0.364765113170572,60836.5924121638,48.6360796351401,145.7851,88.116,0.3253156799485589,197.91097426316367,33533.009080092204,29588.533532885565,221.9106651613488,11.015946735800126,2
Djibouti,2020,463062.0,115.626523405724,90.5427741489479,4.96773973799916,2921.73870623293,107.211459897941,47.0300258843831,78.062,0.4938229156219527,14.428215265974597,3378.304889016508,3132.4387213555306,145.14437475003578,7.979934165393947,3
Dominica,2020,157552.0,,,4.52924732255775,7003.46989117043,,95.9933333333333,71.09,1.1666583941304336,81.70656936573735,,,317.2044725319745,8.85416100395805,3
Dominican Republic,2020,27015426.0,18.2956971595932,82.319225848459,3.12082025025819,7167.91497432809,25.9979593928743,231.420841135259,82.54,1.325868152725339,95.0371018590468,1311.4200163601995,1863.511624341571,223.6977420401205,8.877370092744025,3
East Timor,2020,646494.0,36.6662147455271,94.9521811329521,-32.9552316203759,1663.5596290755,48.0840963587117,87.4240080699395,31.32,1.7339145835317888,28.844703014287365,609.9643460167155,799.9076150292885,-548.2299289048958,7.416714940367943,0
Ecuador,2020,32909420.0,23.2835624071198,79.8372744672868,1.14233402070353,5450.43376119582,20.7057500327125,70.8189523272669,64.166,1.5707962347490032,85.61520829835243,1269.055146246758,1128.5531902917771,62.26215913005103,8.603450473700478,3
Egypt,2020,235357630.0,12.4727757370868,91.1858401326269,1.52462948997172,3571.5569065135,19.6534798296655,107.956335325732,42.783,2.811851064211028,100.4268608847024,445.47228327186286,701.9352162266573,54.45300984782655,8.1807568879732,3
El Salvador,2020,6594499.0,24.5267982788944,100.194332614133,1.55101998611343,3960.31389233069,41.9327086708139,303.703233590734,73.444,1.19774697401399,47.43453980684651,971.3381995829792,1660.666886920798,61.42525998287564,8.284078566847237,3
Equatorial Guinea,2020,6411490.0,40.8454498501516,89.2485203567817,-0.0916985922610923,6198.94251851904,37.0824347940291,56.9001426024955,73.1,2.107306728524431,130.6307327901136,2531.98595764142,2298.7188173491663,-5.684343024556264,8.732133994956724,3
Eritrea,2020,640911.0,,,,643.790042311239,,29.3774260253951,41.347,,10.881265078315984,,,-8.535072168033235,6.46737265169203,0
Estonia,2020,9198251.0,69.2110308635627,70.5979766739192,11.9958218393675,23565.1759437969,69.7644799852774,31.0999298245614,69.229,1.2611964947770582,297.2031729912126,16309.701195514102,16440.12245480556,2826.8365223513715,10.06752530564852,1
Eswatini,2020,1121184.0,44.916525846412,88.817202071795,0.974016254040139,3372.90461128068,41.9679793111403,68.6427325581395,24.171,1.024353651948402,34.550471562389774,1514.9915715007094,1415.5399094467732,32.85263914714324,8.123529554578951,3
Ethiopia,2020,15849882.0,7.12720094276697,79.1727439123585,2.22538575066647,918.652594077418,16.878912700715,103.840062771756,21.695,0.7849372092924223,7.210846035043741,65.47421634583897,155.05856937718147,20.443563926726707,6.822908024854733,0
Federated States of Micronesia,2020,146560.0,17.2913172043011,,,3318.28804881095,68.2255107526882,160.151428571429,22.933,2.113647702602944,70.13691910944061,573.7757122723137,2263.918969546679,,8.107204280969901,3
Fiji,2020,1003936.06,27.8295734109101,101.372972779207,5.40062182155247,4815.68912941764,44.5140023698151,50.3788724685276,57.247,1.3129222101415328,63.22625215149572,1340.185741512502,2143.655973191894,260.0771579814596,8.47963443536572,3
Finland,2020,37700000.0,35.7875633302246,75.4001461951453,-0.914938441590278,49169.7193388499,35.7111049496299,18.1928768835954,85.517,0.5897122159798488,289.9598415042039,17596.64444768459,17559.05007653515,-449.8726638531864,10.8030332524143,2
France,2020,280490020.0,27.3277355735877,78.0410745903931,0.731611886624969,39179.7442596057,29.4544212005012,123.404699419421,80.975,0.4302181943425645,168.55838830171007,10706.93690967296,11540.166899503422,286.64366615253914,10.575915164157314,2
Gabon,2020,5624687.0,47.5047621419628,55.15104630561,11.2083506530414,6680.08267035383,22.5552344452796,8.89732215624636,90.092,1.3605652591236077,90.88688409357084,3173.357383438063,1506.7083074368013,748.727089606307,8.806885642255583,3
